Vehicle_Brand,Vehicle_Model,Year_of_Manufacture,Mileage,Type_of_Service,Service_Date,scheduled,reliability
Toyota,Corolla,2012,6370,Routine Maintenance Services,2019-07-02,1,1
Hyundai,Sonata,2014,5129,Wear-and-Tear Replacements,2019-02-21,1,0
Toyota,Camry,2014,5107,Wear-and-Tear Replacements,2016-10-09,0,0
Audi,Q7,2017,3770,Suspension System Repairs,2021-09-03,0,1
Nissan,Sentra,2013,5938,Suspension System Repairs,2018-06-10,0,1
Hyundai,Elantra,2015,4582,Wear-and-Tear Replacements,2019-03-03,1,0
Volkswagen,Passat,2020,2002,Multiple Unscheduled Repairs,2023-05-25,0,0
Audi,A4,2013,5589,Engine Diagnostics/Repair/Replacement,2020-01-08,0,1
Mercedes-Benz,E-Class,2013,5559,Electrical System Repairs,2017-03-11,0,1
Nissan,Sentra,2017,3702,Engine Diagnostics/Repair/Replacement,2020-04-13,0,0
Nissan,Rogue,2015,4594,Engine Diagnostics/Repair/Replacement,2016-04-04,0,1
Nissan,Pathfinder,2018,3259,Engine Diagnostics/Repair/Replacement,2019-04-09,1,1
Chevrolet,Equinox,2019,2548,Routine Maintenance Services,2023-09-15,1,0
Volkswagen,Passat,2015,4538,Electrical System Repairs,2016-10-27,1,1
Volkswagen,Jetta,2013,5852,Transmission Diagnostics/Repair/Replacement,2016-04-18,0,1
Mercedes-Benz,E-Class,2015,4667,Routine Maintenance Services,2018-02-07,0,1
Mercedes-Benz,GLE,2010,7287,Cooling System Repairs,2019-08-27,1,1
Chevrolet,Traverse,2020,2404,Routine Maintenance Services,2022-09-11,1,0
Ford,Escape,2014,5204,Wear-and-Tear Replacements,2017-03-17,0,1
Toyota,Rav4,2018,3076,Wear-and-Tear Replacements,2019-04-21,1,0
Nissan,Rogue,2011,6559,Multiple Unscheduled Repairs,2022-08-17,1,1
Honda,Civic,2012,6375,Wear-and-Tear Replacements,2014-02-15,0,0
BMW,X3,2020,2272,Suspension System Repairs,2021-02-09,0,0
Honda,Pilot,2020,2436,Suspension System Repairs,2021-07-08,0,1
BMW,X5,2019,2703,Suspension System Repairs,2019-05-18,0,0
Toyota,Camry,2016,4208,Multiple Unscheduled Repairs,2019-01-02,1,1
Toyota,Corolla,2017,3755,Suspension System Repairs,2020-12-18,0,0
Chevrolet,Equinox,2014,5495,Suspension System Repairs,2021-05-19,0,0
Nissan,Pathfinder,2014,5049,Multiple Unscheduled Repairs,2021-04-21,0,1
Nissan,Pathfinder,2017,3509,Wear-and-Tear Replacements,2021-03-31,0,0
Audi,A4,2014,5222,Routine Maintenance Services,2021-03-27,0,1
Volkswagen,Tiguan,2016,4158,Cooling System Repairs,2020-06-27,0,0
Toyota,Corolla,2010,7395,Engine Diagnostics/Repair/Replacement,2022-08-07,1,1
Volkswagen,Tiguan,2018,3123,Suspension System Repairs,2023-12-19,1,0
Volkswagen,Jetta,2013,5920,Wear-and-Tear Replacements,2022-01-03,1,0
Honda,CR-V,2015,4606,Brake System Repairs,2023-03-22,0,0
Hyundai,Sonata,2011,6556,Routine Maintenance Services,2022-01-21,0,0
Honda,Civic,2016,4340,Cooling System Repairs,2021-08-04,0,1
Volkswagen,Tiguan,2020,2375,Engine Diagnostics/Repair/Replacement,2022-05-24,0,0
Mercedes-Benz,GLE,2015,4947,Routine Maintenance Services,2020-02-28,1,1
BMW,5 Series,2012,6341,Wear-and-Tear Replacements,2017-03-17,1,1
Nissan,Pathfinder,2017,3844,Wear-and-Tear Replacements,2018-02-15,0,0
Ford,Focus,2010,7414,Electrical System Repairs,2020-07-30,1,0
Honda,Civic,2010,7082,Brake System Repairs,2012-02-16,0,1
Chevrolet,Silverado,2012,6427,Engine Diagnostics/Repair/Replacement,2014-05-02,1,1
Toyota,Prius,2020,2318,Routine Maintenance Services,2021-04-27,0,0
Honda,Civic,2014,5429,Multiple Unscheduled Repairs,2023-01-11,0,1
Ford,Focus,2015,4564,Multiple Unscheduled Repairs,2016-12-24,0,1
BMW,X3,2015,4830,Engine Diagnostics/Repair/Replacement,2022-08-25,1,0
BMW,5 Series,2016,4204,Wear-and-Tear Replacements,2021-07-31,0,0
Toyota,Prius,2010,7032,Multiple Unscheduled Repairs,2018-02-02,1,0
Chevrolet,Silverado,2012,6239,Wear-and-Tear Replacements,2023-03-23,0,0
Nissan,Pathfinder,2015,4877,Multiple Unscheduled Repairs,2020-06-03,0,1
Toyota,Camry,2014,5370,Routine Maintenance Services,2017-04-03,1,0
Toyota,Camry,2019,2748,Cooling System Repairs,2020-08-28,1,0
Honda,Civic,2017,3641,Suspension System Repairs,2021-02-23,0,0
Toyota,Corolla,2013,5881,Routine Maintenance Services,2018-06-10,0,0
Hyundai,Elantra,2016,4002,Multiple Unscheduled Repairs,2021-01-19,1,0
Mercedes-Benz,GLE,2013,5720,Brake System Repairs,2017-02-03,0,1
Toyota,Prius,2019,2666,Routine Maintenance Services,2020-12-02,1,0
Honda,CR-V,2010,7495,Routine Maintenance Services,2016-01-01,0,1
BMW,X3,2013,5877,Transmission Diagnostics/Repair/Replacement,2023-07-12,0,0
Toyota,Prius,2018,3482,Engine Diagnostics/Repair/Replacement,2018-03-08,0,0
Nissan,Altima,2013,5752,Multiple Unscheduled Repairs,2017-11-21,0,1
Toyota,Rav4,2010,7385,Wear-and-Tear Replacements,2017-09-09,1,1
BMW,3 Series,2017,3528,Electrical System Repairs,2020-09-27,1,1
Hyundai,Santa Fe,2014,5054,Electrical System Repairs,2015-11-10,1,0
Nissan,Altima,2018,3162,Electrical System Repairs,2018-08-26,0,0
Ford,Escape,2011,6564,Multiple Unscheduled Repairs,2023-12-28,1,0
Hyundai,Sonata,2014,5160,Transmission Diagnostics/Repair/Replacement,2019-09-26,0,1
BMW,5 Series,2017,3730,Multiple Unscheduled Repairs,2020-11-03,1,0
Audi,Q7,2017,3995,Brake System Repairs,2023-02-20,0,1
Ford,Escape,2015,4726,Suspension System Repairs,2017-08-14,0,1
Toyota,Rav4,2010,7419,Transmission Diagnostics/Repair/Replacement,2018-05-23,1,1
Ford,Escape,2020,2156,Brake System Repairs,2020-10-30,1,1
Honda,CR-V,2014,5122,Suspension System Repairs,2022-08-02,0,0
Ford,F-150,2013,5685,Wear-and-Tear Replacements,2022-10-29,0,1
Chevrolet,Malibu,2016,4097,Electrical System Repairs,2021-08-31,0,1
BMW,3 Series,2016,4055,Routine Maintenance Services,2018-10-18,1,1
BMW,X5,2014,5026,Multiple Unscheduled Repairs,2017-01-24,1,0
Volkswagen,Jetta,2015,4801,Brake System Repairs,2015-08-09,1,1
Nissan,Pathfinder,2015,4844,Suspension System Repairs,2017-07-08,1,0
Audi,A6,2020,2374,Electrical System Repairs,2021-09-11,1,0
BMW,3 Series,2010,7498,Engine Diagnostics/Repair/Replacement,2022-09-22,1,1
BMW,X3,2011,6809,Cooling System Repairs,2022-06-17,1,1
Chevrolet,Malibu,2015,4795,Brake System Repairs,2019-10-06,1,0
Audi,A4,2020,2087,Suspension System Repairs,2021-03-11,1,0
Mercedes-Benz,E-Class,2012,6206,Engine Diagnostics/Repair/Replacement,2019-05-01,0,1
Chevrolet,Malibu,2013,5982,Suspension System Repairs,2018-12-09,1,0
Honda,Civic,2018,3152,Multiple Unscheduled Repairs,2019-05-12,0,1
Toyota,Corolla,2012,6207,Multiple Unscheduled Repairs,2016-08-10,0,0
Toyota,Rav4,2018,3042,Engine Diagnostics/Repair/Replacement,2022-06-24,0,1
BMW,X3,2019,2831,Brake System Repairs,2019-06-15,1,0
Hyundai,Santa Fe,2020,2476,Cooling System Repairs,2020-10-05,0,0
Ford,F-150,2013,5963,Wear-and-Tear Replacements,2019-07-05,1,0
Hyundai,Santa Fe,2017,3605,Electrical System Repairs,2021-07-24,1,0
BMW,X3,2011,6863,Routine Maintenance Services,2015-11-14,0,0
Toyota,Camry,2013,5674,Brake System Repairs,2017-05-06,1,1
Nissan,Altima,2013,5939,Wear-and-Tear Replacements,2015-06-06,0,0
Honda,CR-V,2014,5080,Electrical System Repairs,2016-05-30,0,0
Ford,Explorer,2010,7476,Cooling System Repairs,2020-08-20,0,0
Honda,Accord,2010,7020,Suspension System Repairs,2013-11-21,0,0
Toyota,Prius,2014,5252,Transmission Diagnostics/Repair/Replacement,2021-06-25,1,0
Volkswagen,Passat,2016,4170,Cooling System Repairs,2019-11-22,0,1
Audi,Q5,2014,5311,Suspension System Repairs,2020-07-11,0,0
Honda,Civic,2011,6926,Wear-and-Tear Replacements,2016-06-10,1,1
Audi,Q7,2014,5177,Cooling System Repairs,2023-09-24,0,0
Hyundai,Sonata,2017,3722,Wear-and-Tear Replacements,2022-08-27,1,1
Toyota,Prius,2010,7015,Routine Maintenance Services,2021-04-14,1,0
Nissan,Sentra,2020,2164,Wear-and-Tear Replacements,2020-03-27,0,0
Volkswagen,Jetta,2020,2297,Electrical System Repairs,2023-01-26,0,1
Ford,Explorer,2020,2151,Suspension System Repairs,2020-10-04,0,1
BMW,X3,2011,6770,Multiple Unscheduled Repairs,2017-11-22,1,0
BMW,X5,2019,2688,Wear-and-Tear Replacements,2021-12-17,1,0
Mercedes-Benz,E-Class,2013,5978,Wear-and-Tear Replacements,2022-01-06,0,1
Toyota,Prius,2015,4851,Engine Diagnostics/Repair/Replacement,2022-05-05,0,0
Hyundai,Santa Fe,2015,4701,Cooling System Repairs,2015-06-25,0,0
BMW,X5,2011,6991,Brake System Repairs,2022-01-08,0,1
Audi,A6,2012,6084,Multiple Unscheduled Repairs,2014-04-15,1,0
Nissan,Sentra,2012,6289,Multiple Unscheduled Repairs,2015-07-05,0,0
Toyota,Corolla,2020,2005,Wear-and-Tear Replacements,2021-05-21,0,0
Honda,Accord,2014,5409,Cooling System Repairs,2019-05-13,0,1
Nissan,Sentra,2010,7493,Multiple Unscheduled Repairs,2014-07-29,0,1
Hyundai,Elantra,2012,6367,Multiple Unscheduled Repairs,2015-09-18,1,0
Chevrolet,Silverado,2016,4050,Transmission Diagnostics/Repair/Replacement,2019-08-11,1,1
Audi,A6,2012,6015,Cooling System Repairs,2013-03-15,0,0
Chevrolet,Equinox,2010,7299,Cooling System Repairs,2022-09-02,1,1
Honda,Accord,2016,4489,Suspension System Repairs,2023-11-19,1,0
Chevrolet,Silverado,2010,7102,Cooling System Repairs,2011-04-30,0,0
Volkswagen,Tiguan,2015,4778,Brake System Repairs,2016-03-02,1,1
Volkswagen,Jetta,2012,6155,Suspension System Repairs,2014-12-15,1,0
Mercedes-Benz,GLC,2012,6416,Multiple Unscheduled Repairs,2013-03-29,1,0
Chevrolet,Equinox,2016,4285,Brake System Repairs,2021-08-29,0,0
Volkswagen,Tiguan,2016,4222,Electrical System Repairs,2022-01-28,0,1
Honda,Accord,2017,3965,Engine Diagnostics/Repair/Replacement,2022-01-10,1,0
Toyota,Prius,2012,6409,Routine Maintenance Services,2019-08-22,1,0
Mercedes-Benz,C-Class,2012,6379,Multiple Unscheduled Repairs,2022-04-05,1,1
Toyota,Prius,2020,2428,Brake System Repairs,2020-11-24,1,0
Honda,CR-V,2018,3032,Transmission Diagnostics/Repair/Replacement,2022-02-13,0,1
Audi,Q5,2019,2598,Routine Maintenance Services,2022-07-05,1,0
Hyundai,Sonata,2012,6332,Transmission Diagnostics/Repair/Replacement,2016-10-21,0,0
Nissan,Rogue,2017,3812,Routine Maintenance Services,2018-08-14,0,1
Volkswagen,Tiguan,2019,2995,Brake System Repairs,2022-12-17,1,0
Nissan,Sentra,2019,2631,Electrical System Repairs,2023-01-31,1,1
Honda,Civic,2017,3742,Wear-and-Tear Replacements,2022-10-04,1,1
Volkswagen,Atlas,2014,5114,Wear-and-Tear Replacements,2017-09-25,0,0
Audi,A4,2018,3216,Cooling System Repairs,2022-12-15,1,1
Nissan,Sentra,2019,2701,Brake System Repairs,2021-04-10,1,1
Ford,Explorer,2014,5416,Multiple Unscheduled Repairs,2023-11-19,1,0
Audi,Q7,2018,3097,Multiple Unscheduled Repairs,2018-09-05,0,1
Mercedes-Benz,GLC,2014,5421,Engine Diagnostics/Repair/Replacement,2019-07-23,0,0
Nissan,Rogue,2016,4329,Transmission Diagnostics/Repair/Replacement,2016-11-11,0,1
Chevrolet,Equinox,2015,4799,Engine Diagnostics/Repair/Replacement,2019-06-19,0,1
Audi,Q7,2015,4724,Cooling System Repairs,2018-07-24,1,0
Volkswagen,Passat,2010,7124,Wear-and-Tear Replacements,2013-11-13,0,1
Honda,Accord,2011,6953,Suspension System Repairs,2013-07-05,1,1
Toyota,Rav4,2014,5310,Multiple Unscheduled Repairs,2014-05-31,1,0
Chevrolet,Traverse,2011,6723,Routine Maintenance Services,2017-07-02,0,0
Toyota,Camry,2020,2143,Brake System Repairs,2022-07-09,0,0
Nissan,Pathfinder,2010,7267,Cooling System Repairs,2014-04-28,0,1
Mercedes-Benz,GLE,2020,2038,Multiple Unscheduled Repairs,2020-01-10,0,0
Nissan,Altima,2020,2380,Routine Maintenance Services,2022-08-24,1,0
Ford,Explorer,2019,2582,Brake System Repairs,2020-07-07,0,1
BMW,5 Series,2017,3993,Wear-and-Tear Replacements,2021-03-29,0,0
BMW,3 Series,2018,3222,Multiple Unscheduled Repairs,2023-03-19,0,1
Mercedes-Benz,C-Class,2015,4619,Electrical System Repairs,2017-05-03,0,0
Chevrolet,Silverado,2012,6250,Cooling System Repairs,2015-08-02,1,0
Audi,Q7,2016,4406,Routine Maintenance Services,2020-01-21,1,0
Nissan,Altima,2020,2292,Routine Maintenance Services,2021-07-01,1,0
Nissan,Rogue,2017,3740,Electrical System Repairs,2019-06-09,1,1
BMW,5 Series,2013,5667,Transmission Diagnostics/Repair/Replacement,2018-12-14,0,1
Volkswagen,Atlas,2010,7444,Engine Diagnostics/Repair/Replacement,2014-02-15,1,1
Mercedes-Benz,E-Class,2012,6020,Electrical System Repairs,2019-11-14,1,0
Volkswagen,Passat,2019,2602,Wear-and-Tear Replacements,2019-12-11,1,1
Toyota,Corolla,2015,4666,Engine Diagnostics/Repair/Replacement,2018-07-01,0,0
Hyundai,Tucson,2019,2571,Engine Diagnostics/Repair/Replacement,2023-05-30,0,0
Nissan,Rogue,2011,6737,Electrical System Repairs,2016-03-27,1,0
Nissan,Rogue,2014,5449,Brake System Repairs,2020-05-07,1,1
Hyundai,Elantra,2019,2511,Electrical System Repairs,2020-06-25,0,0
Ford,F-150,2012,6440,Engine Diagnostics/Repair/Replacement,2015-10-07,0,1
Honda,Pilot,2011,6683,Transmission Diagnostics/Repair/Replacement,2018-11-29,1,1
Audi,Q5,2016,4452,Brake System Repairs,2016-04-20,1,0
Nissan,Rogue,2017,3665,Engine Diagnostics/Repair/Replacement,2017-01-22,1,1
Toyota,Rav4,2017,3848,Multiple Unscheduled Repairs,2023-12-11,1,1
Mercedes-Benz,GLE,2020,2129,Cooling System Repairs,2022-05-28,0,0
Volkswagen,Atlas,2013,5781,Electrical System Repairs,2017-09-18,0,0
Hyundai,Tucson,2010,7079,Suspension System Repairs,2011-09-01,0,0
Mercedes-Benz,C-Class,2010,7276,Transmission Diagnostics/Repair/Replacement,2010-10-27,0,1
Nissan,Sentra,2013,5585,Suspension System Repairs,2022-04-22,1,0
Honda,Civic,2019,2981,Transmission Diagnostics/Repair/Replacement,2019-12-29,1,1
Toyota,Rav4,2014,5206,Routine Maintenance Services,2020-10-28,1,0
Mercedes-Benz,GLC,2013,5727,Electrical System Repairs,2016-07-12,0,1
Volkswagen,Jetta,2012,6176,Brake System Repairs,2014-10-16,1,1
Ford,Focus,2019,2644,Cooling System Repairs,2023-06-23,1,1
Honda,Civic,2012,6194,Cooling System Repairs,2023-09-24,1,0
Mercedes-Benz,GLE,2015,4916,Multiple Unscheduled Repairs,2022-07-31,1,0
Honda,Accord,2017,3801,Suspension System Repairs,2017-06-13,1,1
Ford,Escape,2018,3357,Multiple Unscheduled Repairs,2018-01-01,0,0
BMW,X3,2014,5262,Suspension System Repairs,2018-09-30,1,1
Nissan,Altima,2011,6726,Multiple Unscheduled Repairs,2011-02-02,0,0
Toyota,Prius,2018,3119,Wear-and-Tear Replacements,2019-09-02,1,0
Nissan,Pathfinder,2018,3340,Electrical System Repairs,2020-05-19,0,1
Chevrolet,Silverado,2012,6406,Electrical System Repairs,2012-05-02,1,0
Audi,Q7,2015,4854,Routine Maintenance Services,2016-12-29,0,1
Hyundai,Sonata,2011,6634,Transmission Diagnostics/Repair/Replacement,2013-06-21,0,0
Ford,F-150,2014,5313,Cooling System Repairs,2020-11-08,0,1
Volkswagen,Atlas,2015,4691,Engine Diagnostics/Repair/Replacement,2021-12-31,1,0
Ford,Explorer,2018,3231,Transmission Diagnostics/Repair/Replacement,2020-01-02,1,0
Chevrolet,Malibu,2012,6397,Electrical System Repairs,2014-04-12,0,1
Honda,Pilot,2018,3162,Wear-and-Tear Replacements,2022-06-16,0,0
Audi,A6,2018,3044,Brake System Repairs,2018-06-28,1,1
Hyundai,Santa Fe,2014,5252,Transmission Diagnostics/Repair/Replacement,2022-02-12,1,1
Chevrolet,Equinox,2011,6536,Engine Diagnostics/Repair/Replacement,2011-12-20,0,0
BMW,X5,2010,7473,Cooling System Repairs,2020-07-16,1,1
Ford,Focus,2017,3571,Suspension System Repairs,2021-07-18,1,1
Ford,Focus,2012,6176,Transmission Diagnostics/Repair/Replacement,2014-08-09,1,0
Ford,Escape,2018,3329,Wear-and-Tear Replacements,2020-11-17,1,1
Chevrolet,Equinox,2012,6451,Routine Maintenance Services,2023-05-18,0,0
Nissan,Sentra,2017,3673,Electrical System Repairs,2020-05-17,0,0
Mercedes-Benz,GLE,2014,5491,Transmission Diagnostics/Repair/Replacement,2015-05-31,0,0
Honda,Pilot,2014,5280,Multiple Unscheduled Repairs,2016-07-23,1,0
Toyota,Rav4,2011,6504,Engine Diagnostics/Repair/Replacement,2012-04-18,1,1
Hyundai,Santa Fe,2013,5664,Routine Maintenance Services,2016-08-16,1,1
Mercedes-Benz,C-Class,2018,3429,Engine Diagnostics/Repair/Replacement,2023-07-07,0,1
BMW,5 Series,2011,6783,Brake System Repairs,2022-05-13,1,0
Ford,Explorer,2011,6506,Suspension System Repairs,2013-08-26,1,1
BMW,X3,2010,7212,Transmission Diagnostics/Repair/Replacement,2015-12-28,1,1
Ford,Explorer,2018,3153,Cooling System Repairs,2021-10-15,0,1
Nissan,Rogue,2015,4685,Wear-and-Tear Replacements,2018-03-22,1,1
Mercedes-Benz,GLC,2019,2924,Brake System Repairs,2020-10-05,1,0
Honda,CR-V,2020,2197,Transmission Diagnostics/Repair/Replacement,2021-11-18,0,1
Mercedes-Benz,C-Class,2013,5513,Suspension System Repairs,2022-12-10,1,1
Volkswagen,Jetta,2010,7397,Cooling System Repairs,2017-05-20,0,1
Audi,A6,2020,2209,Suspension System Repairs,2022-07-25,0,1
BMW,X3,2019,2682,Cooling System Repairs,2020-02-16,1,0
Audi,Q7,2011,6681,Electrical System Repairs,2015-07-10,1,1
Hyundai,Tucson,2016,4048,Engine Diagnostics/Repair/Replacement,2023-11-11,0,1
Audi,A4,2018,3244,Transmission Diagnostics/Repair/Replacement,2019-07-22,0,1
Toyota,Corolla,2015,4851,Engine Diagnostics/Repair/Replacement,2023-05-24,0,0
Mercedes-Benz,GLC,2016,4311,Cooling System Repairs,2022-10-22,1,1
Hyundai,Sonata,2017,3977,Wear-and-Tear Replacements,2020-01-11,0,1
Hyundai,Sonata,2014,5406,Brake System Repairs,2018-06-23,0,0
Toyota,Rav4,2014,5103,Electrical System Repairs,2021-06-04,0,1
Audi,A6,2016,4115,Routine Maintenance Services,2021-12-12,0,1
Mercedes-Benz,E-Class,2014,5413,Electrical System Repairs,2022-11-17,1,1
Ford,Focus,2020,2451,Wear-and-Tear Replacements,2023-05-15,0,0
Audi,Q7,2019,2722,Transmission Diagnostics/Repair/Replacement,2023-10-27,0,0
Volkswagen,Jetta,2013,5761,Engine Diagnostics/Repair/Replacement,2017-01-25,1,1
Honda,Civic,2013,5595,Multiple Unscheduled Repairs,2014-11-19,1,1
Hyundai,Elantra,2018,3217,Engine Diagnostics/Repair/Replacement,2019-04-13,0,1
Honda,Accord,2010,7051,Brake System Repairs,2011-08-05,1,0
Toyota,Rav4,2020,2139,Wear-and-Tear Replacements,2022-10-11,0,1
Ford,Explorer,2019,2930,Transmission Diagnostics/Repair/Replacement,2022-10-22,0,1
Chevrolet,Traverse,2010,7201,Suspension System Repairs,2010-10-26,0,1
Nissan,Pathfinder,2013,5585,Multiple Unscheduled Repairs,2015-01-27,1,0
Volkswagen,Passat,2010,7387,Engine Diagnostics/Repair/Replacement,2022-03-24,0,1
Mercedes-Benz,GLE,2011,6600,Routine Maintenance Services,2023-10-09,1,1
Audi,A4,2015,4892,Brake System Repairs,2020-03-15,0,1
Honda,Accord,2018,3233,Transmission Diagnostics/Repair/Replacement,2020-01-07,1,1
Volkswagen,Jetta,2020,2140,Wear-and-Tear Replacements,2022-02-22,0,0
Honda,CR-V,2015,4964,Routine Maintenance Services,2016-10-12,0,1
Chevrolet,Equinox,2016,4189,Brake System Repairs,2022-12-28,1,0
Honda,Pilot,2019,2843,Multiple Unscheduled Repairs,2021-06-09,0,1
Toyota,Rav4,2018,3155,Transmission Diagnostics/Repair/Replacement,2021-12-19,1,0
Toyota,Prius,2018,3139,Routine Maintenance Services,2019-06-04,0,1
Ford,Focus,2016,4236,Engine Diagnostics/Repair/Replacement,2018-12-21,0,0
Chevrolet,Silverado,2019,2716,Brake System Repairs,2020-11-18,1,1
Ford,Explorer,2019,2600,Brake System Repairs,2021-08-01,1,1
BMW,3 Series,2012,6029,Routine Maintenance Services,2019-08-26,0,1
Honda,Civic,2020,2224,Suspension System Repairs,2022-11-23,1,0
Volkswagen,Tiguan,2019,2532,Suspension System Repairs,2019-09-07,0,0
Hyundai,Sonata,2020,2406,Electrical System Repairs,2023-04-09,0,1
Honda,Pilot,2017,3626,Multiple Unscheduled Repairs,2019-05-20,1,0
Mercedes-Benz,GLC,2018,3036,Transmission Diagnostics/Repair/Replacement,2020-09-12,1,1
Honda,Pilot,2016,4325,Engine Diagnostics/Repair/Replacement,2018-09-18,0,1
Hyundai,Sonata,2014,5330,Cooling System Repairs,2023-07-05,1,1
Hyundai,Elantra,2016,4396,Cooling System Repairs,2019-10-12,0,1
Ford,Explorer,2019,2722,Brake System Repairs,2019-04-20,1,1
Chevrolet,Traverse,2013,5661,Transmission Diagnostics/Repair/Replacement,2023-02-03,1,1
Chevrolet,Traverse,2019,2913,Brake System Repairs,2019-10-01,0,1
Mercedes-Benz,GLC,2014,5088,Electrical System Repairs,2018-03-24,0,0
Ford,F-150,2019,2868,Engine Diagnostics/Repair/Replacement,2022-10-07,0,0
Chevrolet,Silverado,2010,7206,Transmission Diagnostics/Repair/Replacement,2017-10-12,1,1
Nissan,Altima,2020,2122,Suspension System Repairs,2021-08-25,0,1
Honda,Pilot,2019,2745,Suspension System Repairs,2022-02-28,0,0
BMW,X3,2017,3751,Routine Maintenance Services,2020-08-22,1,1
